item,url,old_price,new_price,status
Biodegradable camp soap (Dr. Bronner's Pure Castile 4oz),https://www.rei.com/product/645761/dr-bronners-pure-castile-liquid-soap-4-fl-oz,8.99,,dead
MSR IsoPro Fuel Canister 8oz,https://www.rei.com/product/651555/msr-isopro-fuel-canister-8-oz-227-g,6.95,6.95,ok
Therm-a-Rest Z Seat Pad,https://www.rei.com/product/734520/therm-a-rest-z-seat,19.95,33.95,dead
Suunto A-10 baseplate compass,https://www.rei.com/product/810470/suunto-a-10-compass,21.99,,dead
Darn Tough Hiker Micro Crew Cushion Socks - Men's,https://www.rei.com/product/825037/darn-tough-hiker-micro-crew-cushion-socks-mens,25.95,26.00,ok
Anti-chafe balm (Body Glide Original),https://www.rei.com/product/850860/bodyglide-original-anti-chafe-balm,10.98,,dead
Outdoor Research PL 400 Sensor Gloves - Men's,https://www.rei.com/product/871650/outdoor-research-pl-400-sensor-gloves-mens,29.00,,dead
Repair kit: Gear Aid Tenacious Tape repair tape,https://www.rei.com/product/883893/gear-aid-tenacious-tape-repair-tape,24.00,,dead
UCO Stormproof Match Kit,https://www.rei.com/product/883973/uco-stormproof-match-kit,10.95,,dead
Opinel No. 8 Beechwood Handle Knife,https://www.rei.com/product/884528/opinel-no-8-beechwood-handle-knife,22.00,22.00,ok
REI Co-op Trailmade 25 Sleeping Bag (Short),https://www.rei.com/product/C03116/rei-co-op-trailmade-25-sleeping-bag,119.00,119.00,ok
Kelty Late Start 1P Tent,https://www.rei.com/product/C17058/kelty-late-start-1p-tent,149.95,149.95,ok
TheTentLab Deuce of Spades trowel (#2 DirtSaw titanium),https://www.thetentlab.com/Deuce/DeuceofSpadespage.html,20.95,20.95,ok
TOAKS Titanium 750ml Pot with Bail Handle,https://www.toaksoutdoor.com/products/pot-750-bh,30.00,30.00,ok
Neoprene socks (3mm knee-high),https://www.walmart.com/ip/17778063384,41.59,41.59,ok
ASR Outdoor Gold Panning Classifier Set (Coarse Combo),https://www.walmart.com/ip/ASR-Outdoor-Gold-Panning-Classifier-Set-Mesh-Soil-Sifter-Coarse-Combo-1-2-1-4-1-8-Inch-Mesh/585755027,75.00,75.00,ok
Allen Company Deluxe Blaze Orange Safety Hunting Vest - Medium,https://www.walmart.com/ip/Allen-Company-Deluxe-Blaze-Orange-Safety-Hunting-Vest-Medium/956427108,13.51,13.51,ok
BIC lighters 4-pack,https://www.walmart.com/ip/BIC-Multi-purpose-Classic-Edition-Lighter-Assorted-Colors-4-Pack-of-Lighters/195861075,15.24,15.24,ok
Coghlan's Backpackers Trowel,https://www.walmart.com/ip/Coghlan-S-Backpackers-Trowel/23233743,4.25,8.75,changed
Coleman Butane/Propane Mix Fuel 7.75oz,https://www.walmart.com/ip/Coleman-Butane-Propane-Mix-Fuel-7-75oz/20595064,5.97,5.97,ok
Dish tub + scrub sponge (collapsible dish basin 9L),https://www.walmart.com/ip/Collapsible-Dish-Basin-9L-Portable-Wash-Basin-with-Drain-Plug-Space-Saving-Foldable-Bucket-Kitchen-Sink-for-Camping-Vegetable-Washing-RV/17826921738,14.99,13.99,changed
Equate Travel Size Toiletry Kit,https://www.walmart.com/ip/Equate-Travel-Size-Toiletry-Kit/,6.00,,dead
Fiskars Indoor and More Garden Trowel Soil Scoop,https://www.walmart.com/ip/Fiskars-Indoor-and-More-Garden-Trowel-Soil-Scoop-Black/5371466767,9.00,6.28,changed
Hodgman Mackenzie Cleated Hip Bootfoot Fishing Wader,https://www.walmart.com/ip/Hodgman-Mackenzie-Cleated-Hip-Bootfoot-Fishing-Wader/43927288,43.51,43.51,ok
Peanut butter squeeze packets (Justin's 10-pack),https://www.walmart.com/ip/Justin-s-Peanut-Butter-Squeeze-Pack-1-15-Oz-Pack-Of-10/30941669,8.98,21.86,changed
Vinyl picnic table cover (KENOBE),https://www.walmart.com/ip/KENOBE-7ft-Picnic-Table-and-Bench-Fitted-Cover-84-x30-Flannel-Backing-Elastic-Edge-Waterproof-Wipeable-Vinyl-Cover-Tablecloth-Black/2001501182,12.99,26.99,changed
Trail mix, bulk bag (Kirkland Signature 4lb),https://www.walmart.com/ip/Kirkland-Signature-Trail-Mix-4-lb/184399571,24.95,24.95,ok
Flour tortillas burrito size 16ct (Mission),https://www.walmart.com/ip/Mission-Burrito-Flour-Tortillas-16-Count/15556308,5.87,5.87,ok
SUCUUI 3 Pairs Wool Winter Gloves,https://www.walmart.com/ip/SUCUUI-3-Pairs-Wool-Winter-Gloves-Men-Women-Thick-Wool-Fleece-Liner-Thermal-Knit-Touchscreen-Elastic-Cuff-Insulated-Gloves-for-Cold-Weather-Gifts/17509322663,12.99,12.99,ok
Tuna single-serve pouches (StarKist Variety Pack 4-pack),https://www.walmart.com/ip/StarKist-Tuna-Creations-Variety-Pack-2-6-oz-Pouch-4-Pack/40711460,12.45,12.45,ok
smartwater 1 liter bottle,https://www.walmart.com/ip/smartwater-vapor-distilled-premium-water-1-liter-bottle/14944716,2.00,2.17,changed
ZOLEO Global Satellite Communicator,https://www.zoleo.com/en-us/product/zoleo-global-satellite-communicator,199.00,199.00,ok
